word	idf	rf_importance	lr_importance
ex	7.7657	0.0	0.2257
medi	9.2698	0.0	0.1903
recent	7.565	0.0	0.3034
alelle	9.2698	0.0	0.1596
encyclopedia	8.8643	0.0	0.2257
glygen	9.2698	0.0	0.1596
genomes	7.1903	0.0	0.6093
zebrafish	7.7657	0.0	0.6411
toxicoge	8.8643	0.0	0.3427
majo	9.2698	0.0	0.1903
maizegdb	8.1711	0.0	0.5082
developme	8.5766	0.0	0.1356
ncbi	7.565	0.0	0.6323
onli	8.8643	0.0	0.156
cath	8.017	0.0	0.5385
labo	9.2698	0.0	0.1587
familie	9.2698	0.0	0.1631
loqate	9.2698	0.0	0.1596
2020	8.017	0.0	0.3706
powerf	9.2698	0.0	0.1631
portal	7.7657	0.0	0.3797
enanomapper	9.2698	0.0	0.1596
subcellular	9.2698	0.0	0.1657
sol	8.8643	0.0	0.2433
announcing	9.2698	0.0	0.2264
fam	7.6603	0.0	0.3601
geneanalytics	9.2698	0.0	0.2257
micro	7.8835	0.0	0.3903
ngasp	9.2698	0.0	0.1596
irbase	9.2698	0.0	0.1596
enzyme	7.6603	0.0	0.4362
wormbase	8.1711	0.0	0.4719
promo	7.8835	0.0	0.5719
xenopus	8.1711	0.0	0.4461
20	7.6603	0.0	0.2966
years	8.017	0.0	0.4508
imaging	8.8643	0.0	0.1499
expanding	7.7657	0.0	0.4562
scop	8.3535	0.0	0.3295
drosoph	8.5766	0.0	0.3268
mammalian	8.3535	0.0	0.3768
bold	9.2698	0.0	0.1596
pheno	8.5766	0.0	0.3679
chimer	9.2698	0.0	0.1596
